datetime,acceleration_x,acceleration_y,acceleration_z,magnetic_x,magnetic_y,magnetic_z
2019-04-26T12:00:00Z,1972,375,-1147,-16058,1642,24
2019-04-26T15:00:00Z,1983,371,-1146,-16052,1630,8
2019-04-26T18:00:00Z,1984,374,-1157,-16058,1637,24
2019-04-26T21:00:00Z,1974,368,-1153,-16049,1638,35
2019-04-27T00:00:00Z,1980,374,-1156,-16056,1635,40
2019-04-27T03:00:00Z,1978,374,-1156,-16055,1628,35
2019-04-27T06:00:00Z,1979,373,-1151,-16060,1612,49
2019-04-27T09:00:00Z,1982,367,-1159,-16066,1627,47
2019-04-27T12:00:00Z,1822,1192,-1155,-15970,2310,-232
2019-04-27T15:00:00Z,1830,1187,-1150,-15957,2328,-241
2019-04-27T18:00:00Z,1820,1187,-1144,-15965,2336,-221
2019-04-27T21:00:00Z,1823,1188,-1145,-15963,2330,-233
2019-04-28T00:00:00Z,1819,1185,-1147,-15962,2343,-249
2019-04-28T03:00:00Z,1819,1189,-1160,-15953,2347,-234
2019-04-28T06:00:00Z,1824,1190,-1151,-15941,2345,-235
2019-04-28T09:00:00Z,1818,1181,-1142,-15959,2349,-233
2019-04-28T12:00:00Z,1819,1187,-1152,-15957,2345,-239
2019-04-28T15:00:00Z,1826,1181,-1149,-15962,2334,-226
2019-04-28T18:00:00Z,1817,1192,-1157,-15946,2335,-254
2019-04-28T21:00:00Z,-1576,4435,-718,7533,-14065,-2721
2019-04-29T00:00:00Z,-1596,4418,-721,7722,-13951,-2702
2019-04-29T03:00:00Z,-1610,4424,-717,7820,-13911,-2675
2019-04-29T06:00:00Z,-3028,418,1208,2585,-13155,-8863
2019-04-29T09:00:00Z,-2963,3076,1394,15614,-3596,-1617
2019-04-29T12:00:00Z,-3499,2315,33,10327,-12515,2556
2019-04-29T15:00:00Z,-318,1573,690,-6365,8665,-11480
2019-04-29T18:00:00Z,-2773,-1086,226,15626,2488,717
2019-04-29T21:00:00Z,-2111,2643,-1000,9243,-13331,1261
2019-04-30T00:00:00Z,-2103,2637,-990,9270,-13302,1272
2019-04-30T03:00:00Z,-2110,2642,-995,9307,-13273,1284
2019-04-30T06:00:00Z,-2054,2080,2719,12782,-6997,-6510
2019-04-30T09:00:00Z,2198,2281,-389,-15777,-1455,-2396
2019-04-30T12:00:00Z,-3610,1293,322,14821,2349,-5152
2019-04-30T15:00:00Z,-2314,1950,-1949,1987,-2680,16352
2019-04-30T18:00:00Z,-2914,833,1580,15361,3956,1115
2019-04-30T21:00:00Z,-2928,854,1579,15370,3922,1095
2019-05-01T00:00:00Z,-2925,850,1588,15370,3899,1097
2019-05-01T03:00:00Z,-2928,854,1592,15376,3867,1071
2019-05-01T06:00:00Z,-3119,-35,-732,15014,2446,4985
2019-05-01T09:00:00Z,-3139,-44,-710,15025,2465,4860
2019-05-01T12:00:00Z,-3133,-47,-711,15037,2489,4845
2019-05-01T15:00:00Z,-3125,-46,-697,15020,2481,4815
2019-05-01T18:00:00Z,-3124,-47,-691,15043,2525,4777
2019-05-01T21:00:00Z,-3219,-9,-571,15298,2363,3892
2019-05-02T00:00:00Z,-3225,-9,-550,15305,2372,3856
2019-05-02T03:00:00Z,-3224,-9,-557,15309,2363,3847
